No.,Time,Source,Destination,Protocol,Length,Info,Target
1,0,192.168.0.235,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
2,0.128847,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.22? Tell 14.102.45.17,1
3,0.178763,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.28? Tell 14.102.45.17,1
4,0.211727,192.168.4.206,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
5,0.259913,192.168.0.53,36.255.253.181,TLSv1.2,249,Application Data,2
6,0.287215,36.255.253.181,192.168.0.53,TLSv1.2,132,Application Data,2
7,0.287318,192.168.0.53,36.255.253.181,TLSv1.2,531,Application Data,2
8,0.287531,36.255.253.181,192.168.0.53,TLSv1.2,316,Application Data,2
9,0.287531,36.255.253.181,192.168.0.53,TLSv1.2,87,Application Data,2
10,0.287613,192.168.0.53,36.255.253.181,TCP,54,55422  >  443 [ACK] Seq=673 Ack=374 Win=1022 Len=0,2
11,0.292575,36.255.253.181,192.168.0.53,TLSv1.2,97,Application Data,2
12,0.307738,Fortinet_78:f7:50,Broadcast,ARP,60,Who has 192.168.3.102? Tell 192.168.3.1,1
13,0.313952,36.255.253.181,192.168.0.53,TLSv1.2,132,Application Data,2
14,0.314052,192.168.0.53,36.255.253.181,TCP,54,55422  >  443 [ACK] Seq=673 Ack=495 Win=1022 Len=0,2
15,0.314266,36.255.253.181,192.168.0.53,TLSv1.2,504,Application Data,2
16,0.314266,36.255.253.181,192.168.0.53,TLSv1.2,87,Application Data,2
17,0.314361,192.168.0.53,36.255.253.181,TCP,54,55422  >  443 [ACK] Seq=673 Ack=978 Win=1026 Len=0,2
18,0.317762,36.255.253.181,192.168.0.53,TLSv1.2,97,Application Data,2
19,0.328865,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.38? Tell 103.215.238.37,1
20,0.358524,192.168.0.53,36.255.253.181,TCP,54,55422  >  443 [ACK] Seq=673 Ack=1021 Win=1026 Len=0,2
21,0.43272,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.162? Tell 103.215.238.161,1
22,0.457925,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.166? Tell 103.215.238.165,1
23,0.478722,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.25? Tell 14.102.45.17,1
24,0.506886,192.168.4.190,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
25,0.548747,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.23? Tell 14.102.45.17,1
26,0.618712,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.24? Tell 14.102.45.17,1
27,0.724395,192.168.3.130,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
28,0.748876,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.20? Tell 14.102.45.17,1
29,0.808785,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.18? Tell 14.102.45.17,1
30,1.001696,192.168.0.235,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
31,1.178728,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.28? Tell 14.102.45.17,1
32,1.277088,192.168.0.65,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
33,1.307601,Fortinet_78:f7:50,Broadcast,ARP,60,Who has 192.168.3.102? Tell 192.168.3.1,1
34,1.328786,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.38? Tell 103.215.238.37,1
35,1.428737,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.162? Tell 103.215.238.161,1
36,1.448725,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.166? Tell 103.215.238.165,1
37,1.475469,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.22? Tell 14.102.45.17,1
38,1.478742,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.25? Tell 14.102.45.17,1
39,1.514207,192.168.4.190,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
40,1.647075,192.168.0.212,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
41,1.685656,192.168.3.136,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
42,1.702193,192.168.0.53,34.160.152.31,TCP,55,55405  >  443 [ACK] Seq=1 Ack=1 Win=1025 Len=1 [TCP segment of a reassembled PDU],2
43,1.714744,34.160.152.31,192.168.0.53,TCP,66,443  >  55405 [ACK] Seq=1 Ack=2 Win=314 Len=0 SLE=1 SRE=2,2
44,1.732446,192.168.3.130,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
45,1.748697,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.20? Tell 14.102.45.17,1
46,1.808749,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.18? Tell 14.102.45.17,1
47,1.876557,192.168.0.53,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
48,2.003963,192.168.0.235,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
49,2.153378,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.30? Tell 103.215.238.29,1
50,2.276585,AioLcdPc_1a:e6:cb,Broadcast,ARP,60,Who has 192.168.0.254? Tell 192.168.0.39,1
51,2.27862,192.168.0.65,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
52,2.307582,Fortinet_78:f7:50,Broadcast,ARP,60,Who has 192.168.3.102? Tell 192.168.3.1,1
53,2.355302,192.168.0.55,192.168.0.255,NBNS,92,Name query NB CENTOS-8<20>,2
54,2.356528,192.168.0.55,224.0.0.251,MDNS,74,"Standard query 0x0000 A CENTOS-8.local, ""QM"" question",2
55,2.358086,192.168.0.55,224.0.0.251,MDNS,74,"Standard query 0x0000 AAAA CENTOS-8.local, ""QM"" question",2
56,2.360906,192.168.0.55,224.0.0.252,LLMNR,68,Standard query 0xb82e A CENTOS-8,2
57,2.362852,192.168.0.55,224.0.0.252,LLMNR,68,Standard query 0x5b24 AAAA CENTOS-8,2
58,2.428884,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.162? Tell 103.215.238.161,1
59,2.448806,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.166? Tell 103.215.238.165,1
60,2.468708,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.22? Tell 14.102.45.17,1
61,2.469545,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.26? Tell 14.102.45.17,1
62,2.648321,192.168.0.212,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
63,2.695484,192.168.3.136,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
